"Kushi Tsuru","Mon-Sun 11:30am-9pm"
"Osakaya Restaurant","Mon-Thu, Sun 11:30am-9pm / Fri-Sat 11:30am-9:30pm"
"The Stinking Rose","Mon-Thu, Sun 11:30am-10pm / Fri-Sat 11:30am-11pm"
"McCormick & Kuleto's","Mon-Thu, Sun 11:30am-10pm / Fri-Sat 11:30am-11pm"
"Mifune Restaurant","Mon-Sun 11am-10pm"
"The Cheesecake Factory","Mon-Thu 11am-11pm / Fri-Sat 11am-12:30am / Sun 10am-11pm"
"New Delhi Indian Restaurant","Mon-Sat 11:30am-10pm / Sun 5:30pm-10pm"
"Iroha Restaurant","Mon-Thu, Sun 11:30am-9:30pm / Fri-Sat 11:30am-10pm"
"RosePistola","Mon-Thu 11:30am-10pm / Fri-Sun 11:30am-11pm"
"Alioto's Restaurant","Mon-Sun 11am-11pm"
"Canton Seafood & Dim Sum Restaurant","Mon-Fri 10:30am-9:30pm / Sat-Sun 10am-9:30pm"
"All Season Restaurant","Mon-Fri 10am-9:30pm / Sat-Sun 9:30am-9:30pm"
"Bombay Indian Restaurant","Mon-Sun 11:30am-10:30pm"
"Sam's Grill & Seafood Restaurant","Mon-Fri 11am-9pm / Sat 5pm-9pm"
"2G Japanese Brasserie","Mon-Thu, Sun 11am-10pm / Fri-Sat 11am-11pm"
"Restaurant Lulu","Mon-Thu, Sun 11:30am-9pm / Fri-Sat 11:30am-10pm"
"Sudachi","Mon-Wed 5pm-12:30am / Thu-Fri 5pm-1:30am / Sat 3pm-1:30am / Sun 3pm-11:30pm"
"Hanuri","Mon-Sun 11am-12am"
"Herbivore","Mon-Thu, Sun 9am-10pm / Fri-Sat 9am-11pm"
"Penang Garden","Mon-Thu 11am-10pm / Fri-Sat 10am-10:30pm / Sun 11am-11pm"
"John's Grill","Mon-Sat 11am-10pm / Sun 12pm-10pm"
"Quan Bac","Mon-Sun 11am-10pm"
"Bamboo Restaurant","Mon-Sat 11am-12am / Sun 12pm-12am"
"Burger Bar","Mon-Thu, Sun 11am-10pm / Fri-Sat 11am-12am"
"Blu Restaurant","Mon-Fri 11:30am-10pm / Sat-Sun 7am-3pm"
"Naan 'N' Curry","Mon-Sun 11am-4am"
"Shanghai China Restaurant","Mon-Sun 11am-9:30pm"
"Tres","Mon-Thu, Sun 11:30am-10pm / Fri-Sat 11:30am-11pm"
"Isobune Sushi","Mon-Sun 11:30am-9:30pm"
"VivaPizza Restaurant","Mon-Sun 11am-12am"
"Far East Cafe","Mon-Sun 11:30am-10pm"
"Parallel 37","Mon-Sun 11:30am-10pm"
"Bai Thong Thai Cuisine","Mon-Sat 11am-11pm / Sun 11am-10pm"
"Alhamra","Mon-Sun 11am-11pm"
"A-1 Cafe Restaurant","Mon, Wed-Sun 11am-10pm"
"Nick's Lighthouse","Mon-Sun 11am-10:30pm"
"Paragon Restaurant & Bar","Mon-Fri 11:30am-10pm / Sat 5:30pm-10pm"
"Chili Lemon Garlic","Mon-Fri 11am-10pm / Sat-Sun 5pm-10pm"
"Bow Hon Restaurant","Mon-Sun 11am-10:30pm"
"San Dong House","Mon-Sun 11am-11pm"
"Thai Stick Restaurant","Mon-Sun 11am-1am"
"Cesario's","Mon-Thu, Sun 11:30am-10pm / Fri-Sat 11:30am-10:30pm"
"Colombini Italian Cafe Bistro","Mon-Fri 12pm-10pm / Sat-Sun 5pm-10pm"
"Sabella & La Torre","Mon-Thu, Sun 10am-10:30pm / Fri-Sat 10am-12:30am"
"Soluna Cafeand Lounge","Mon-Fri 11:30am-10pm / Sat 5pm-10pm"
"TongPalace","Mon-Fri 9am-9:30pm / Sat-Sun 9am-10pm"
"India Garden Restaurant","Mon-Sun 10am-11pm"
"Sapporo-Ya Japanese Restaurant","Mon-Sat 11am-11pm / Sun 11am-10:30pm"
"Santorini's Mediterranean Cuisine","Mon-Sun 8am-10:30pm"
"Kyoto Sushi","Mon-Thu 11am-10:30pm / Fri 11am-11pm / Sat 11:30am-11pm / Sun 4:30pm-10:30pm"
"Marrakech Moroccan Restaurant","Mon-Sun 5:30pm-2am"
